GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",130158,1136,61646,831,1776,880,5197,1438,13274,2091,1448,485,13110,1983,5754,1743,13465,2630,7622,1419,68512,621,1856,952,3145,1210,16856,2570,3065,915,15126,1829,8620,1854,10633,2009,9211,1819
0500000US01015,01015,"Calhoun County, Alabama",60939,465,28752,159,1891,683,3080,723,6743,1214,2169,660,8393,1406,2139,831,2583,705,1754,561,32187,356,1326,594,3882,1045,8532,1178,2274,705,8209,1421,2191,776,3014,870,2759,719
0500000US01043,01043,"Cullman County, Alabama",55223,397,26927,411,2707,948,5023,1505,5606,951,2094,717,5099,1012,2112,850,3116,760,1170,459,28296,231,1758,623,3238,1100,7952,1353,2044,840,4702,981,3529,999,3086,864,1987,609
0500000US01049,01049,"DeKalb County, Alabama",43083,1330,20589,929,1270,421,3508,968,6104,1099,2173,1070,3830,973,1594,680,1396,666,714,349,22494,597,2448,1094,2981,899,4270,821,1784,605,5541,1002,2712,656,1571,535,1187,592
0500000US01051,01051,"Elmore County, Alabama",43150,303,20364,211,1100,561,1481,566,4547,884,1942,573,3948,772,2081,883,3636,905,1629,470,22786,120,646,418,2178,790,4586,909,1675,676,4885,1029,2089,742,4346,1010,2381,837
0500000US01055,01055,"Etowah County, Alabama",60214,334,28792,91,1894,822,2686,782,8687,1329,2644,844,6473,1106,2216,605,2819,851,1373,468,31422,318,1816,1078,4827,1016,7770,1077,2224,797,6998,1202,2597,818,3228,795,1962,507
0500000US01069,01069,"Houston County, Alabama",51909,371,24658,217,980,344,2269,514,5453,594,1480,420,6032,820,2201,408,4074,513,2169,431,27251,237,1012,283,2113,333,6494,697,1594,307,6769,780,3159,432,4032,611,2078,364
0500000US01073,01073,"Jefferson County, Alabama",246764,1115,116801,632,2395,677,6186,1277,20217,2089,5562,1025,22654,2195,8225,1309,31053,2395,20509,1603,129963,742,2628,808,7164,1457,27731,2065,3332,768,23825,2594,10943,1629,31924,2290,22416,2213
0500000US01077,01077,"Lauderdale County, Alabama",56142,620,26491,375,1982,916,2164,676,6683,1153,2400,1002,5620,1054,1426,412,4455,825,1761,591,29651,448,1800,632,1955,640,9966,1212,1528,586,5698,1208,2520,1043,3764,898,2420,779
0500000US01081,01081,"Lee County, Alabama",66281,774,32571,533,761,498,2603,1075,4674,1332,2700,938,7136,1307,2294,709,7058,1282,5345,1112,33710,354,1469,864,1848,1225,5217,1410,1591,1013,7653,1349,3596,982,6556,1245,5780,963
0500000US01083,01083,"Limestone County, Alabama",52874,540,26216,267,767,437,2232,922,5994,1069,2063,871,6462,1226,1670,791,4676,963,2352,740,26658,407,2687,1215,2713,898,5984,1339,2256,910,5030,1273,2131,720,3950,991,1907,642
0500000US01089,01089,"Madison County, Alabama",175033,892,85769,585,3620,1178,5534,1304,11887,1736,4911,1242,14657,1933,5509,1160,21948,2017,17703,1859,89264,508,2588,719,4246,1062,18863,2055,4086,888,18630,2116,6953,1488,22560,2230,11338,1327
0500000US01095,01095,"Marshall County, Alabama",61027,794,28955,729,2265,979,3288,1061,8515,1341,1338,580,7751,1617,1115,408,3455,950,1228,395,32072,479,1705,894,3446,808,7744,1350,2310,724,7298,1369,3993,1125,3348,782,2228,670
0500000US01097,01097,"Mobile County, Alabama",173523,992,83325,765,1922,562,9336,1853,20152,2148,5516,1264,17337,2100,5994,1037,16228,1711,6840,1322,90198,682,1584,473,7785,1541,26055,1930,3954,983,18426,2318,8263,1803,14853,1791,9278,1456
0500000US01101,01101,"Montgomery County, Alabama",61497,587,29544,375,481,267,1718,601,4546,842,2051,730,6658,832,1621,578,6733,971,5736,864,31953,289,307,235,1771,594,6612,1152,646,317,7809,1283,1500,443,7938,1116,5370,987
0500000US01103,01103,"Morgan County, Alabama",67671,758,32740,558,2984,1196,3059,870,6608,1190,2654,854,7526,1202,2692,958,5107,924,2110,576,34931,320,2121,816,2981,989,8153,1360,2926,740,7958,1205,3231,711,4774,967,2787,830
0500000US01115,01115,"St. Clair County, Alabama",54463,218,26232,125,1672,748,3274,920,7713,1413,2115,740,5102,1131,1243,531,3316,910,1797,666,28231,199,1011,443,3265,1130,8055,1522,1496,661,6416,1282,3120,878,3551,867,1317,514
0500000US01117,01117,"Shelby County, Alabama",118069,1235,56383,665,653,428,2359,713,9154,1261,1670,709,12036,1386,3050,920,18848,1626,8613,1179,61686,761,1636,888,2503,844,11458,1400,1344,519,15617,1861,5172,1129,15470,1659,8486,1018
0500000US01121,01121,"Talladega County, Alabama",37406,306,18016,215,873,452,2074,729,4622,966,1510,600,5008,1066,1089,626,1658,608,1182,547,19390,257,1079,567,2641,716,3945,868,2007,774,4564,878,1986,650,2303,678,865,382
0500000US01125,01125,"Tuscaloosa County, Alabama",85392,907,41873,626,1010,453,3342,1191,8523,1267,2249,919,9460,1549,2433,753,8851,1682,6005,1287,43519,426,562,409,2852,1089,9001,1257,1859,731,9337,1267,4226,1063,7956,1322,7726,1356
0500000US01127,01127,"Walker County, Alabama",42308,168,20087,100,2177,764,2737,1001,6390,1021,1283,524,3795,828,1147,413,1677,720,881,424,22221,146,1380,395,2627,724,6644,1110,1782,825,4574,981,2899,762,1305,626,1010,440
0500000US02020,02020,"Anchorage Municipality, Alaska",131316,1364,68181,919,439,289,2133,733,10612,1576,3019,795,18082,1843,5483,1287,15792,1734,12621,1660,63135,799,296,272,1595,631,8472,1315,2421,876,15163,1971,5622,1195,20114,1997,9452,1168
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",48337,1216,26131,626,457,454,737,481,3643,850,2753,1309,8464,1848,2585,947,4898,1182,2594,784,22206,708,38,63,347,221,4791,1187,902,552,5017,1263,1589,693,7014,1291,2508,739
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",57765,378,30277,348,595,470,1195,405,8295,1070,1749,508,10482,1130,3031,638,2952,609,1978,479,27488,213,305,183,1027,492,6196,972,1651,534,8403,977,2906,708,4759,800,2241,627
0500000US04001,04001,"Apache County, Arizona",11593,599,6103,436,86,153,214,231,1154,583,251,197,2816,860,552,400,612,325,418,297,5490,407,80,89,50,88,977,504,7,12,2553,711,678,382,573,301,572,285
0500000US04003,04003,"Cochise County, Arizona",77380,812,38758,617,2120,648,3333,1149,7015,1300,1803,548,10898,1645,3943,750,6376,1010,3270,787,38622,376,2576,689,2578,797,8976,1474,2431,919,9095,1244,4393,991,5414,1127,3159,673
0500000US04005,04005,"Coconino County, Arizona",54952,903,27909,720,496,491,829,463,5346,1114,661,416,7005,1590,1139,519,7589,1320,4844,1024,27043,461,687,410,1057,450,3386,1074,576,340,6002,1197,2287,656,7186,1068,5862,896
0500000US04013,04013,"Maricopa County, Arizona",2236660,8587,1086988,5046,48456,3618,65454,4180,199838,7224,43086,3083,263322,7448,90758,3741,242376,6765,133698,4958,1149672,5633,50003,4155,63788,5122,228238,7080,29764,2183,301207,7526,98588,4885,246731,7050,131353,4632
0500000US04015,04015,"Mohave County, Arizona",144583,1523,72330,785,2301,1109,8511,1621,19794,2444,5202,1180,22491,2064,5640,1255,6166,1218,2225,680,72253,1006,2507,1404,8745,1386,21901,2281,3582,1068,20805,2228,7414,1405,4424,1085,2875,791
0500000US04017,04017,"Navajo County, Arizona",36554,1235,18194,631,472,375,1579,626,3893,857,801,457,4954,990,1909,600,2375,686,2211,630,18360,802,274,222,1436,579,3633,875,957,476,6639,1066,1652,482,2505,719,1264,456
0500000US04019,04019,"Pima County, Arizona",542084,5532,258355,3392,10589,1679,14879,2136,45038,3423,11032,1612,65615,3296,21422,2202,49189,2950,40591,2743,283729,2963,9164,1395,16271,2174,53216,3413,9894,1666,73352,3625,24815,2165,56727,3183,40290,2595
0500000US04021,04021,"Pinal County, Arizona",240988,2810,123596,1773,8570,1727,10700,1918,28542,3175,7776,1480,31920,2627,10104,1481,16447,2038,9537,1548,117392,1513,3491,1072,8639,1527,26306,2887,5755,1260,35387,2754,12798,1957,17480,2516,7536,1479
0500000US04025,04025,"Yavapai County, Arizona",162307,1854,78401,1140,1620,714,5303,1465,16508,2512,4340,1161,23288,2545,8275,1460,10905,1750,8162,1222,83906,1060,1640,782,3815,1079,20088,2283,2522,813,27102,2613,8346,1486,11312,1479,9081,1398
0500000US04027,04027,"Yuma County, Arizona",79892,3106,39431,1867,3940,907,3572,916,9270,1371,2663,883,10581,1466,2830,740,4452,734,2123,572,40461,1646,3830,995,4011,878,10086,1270,1899,702,10182,1314,2844,855,4660,963,2949,737
0500000US05007,05007,"Benton County, Arkansas",151109,944,73562,488,4413,985,3889,750,18890,2158,2717,779,15080,1640,3796,880,16781,1950,7996,1086,77547,672,4210,948,4162,974,21073,2083,3092,764,18098,2027,5088,1074,15348,1819,6476,1123
0500000US05031,05031,"Craighead County, Arkansas",57466,556,27565,402,1040,505,1830,567,8679,1515,3825,1137,5291,1108,1105,582,3804,1037,1991,640,29901,337,1791,906,1708,717,6880,1476,2846,999,6568,1290,2371,795,5309,1186,2428,804
0500000US05045,05045,"Faulkner County, Arkansas",63613,556,30926,318,667,372,2381,873,7015,1129,1769,634,8404,1323,2075,790,4850,1040,3765,821,32687,372,877,485,1600,632,8144,1236,2959,878,6940,1173,2129,635,6419,1270,3619,881
0500000US05051,05051,"Garland County, Arkansas",62373,614,29478,694,509,404,1859,733,7977,1356,1451,626,9642,1616,2233,753,4213,1014,1594,578,32895,444,579,431,2832,922,8102,1283,1338,684,10305,1515,3679,1028,3702,1001,2358,672
0500000US05069,05069,"Jefferson County, Arkansas",21297,684,10558,433,554,237,733,393,3589,627,1002,438,2237,591,608,409,1275,587,560,478,10739,394,845,491,762,401,3736,879,870,355,1368,428,822,417,1641,730,695,293
0500000US05085,05085,"Lonoke County, Arkansas",43033,592,20774,401,492,348,1261,670,5148,1132,2402,753,5345,1197,1826,685,2599,787,1701,618,22259,346,548,338,1623,542,5655,1056,1625,632,5552,885,2239,702,3233,840,1784,561
