GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male -- - Total,Margin of Error; Male -- - Total,"Estimate; Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months",Estimate; Male -- - Other,Margin of Error; Male -- - Other,Estimate; Female -- - Total,Margin of Error; Female -- - Total,"Estimate; Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months",Estimate; Female -- - Other,Margin of Error; Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",11983,2458,15692,4362,18403,4012,4012,1326,11284,1050,16782,8452,7073,4640
0500000US01015,01015,"Calhoun County, Alabama",19314,3207,23002,5175,25374,5033,7356,12072,13419,2984,23584,7617,5592,2242
0500000US01043,01043,"Cullman County, Alabama",8355,22421,39107,22855,45483,16757,4095,3445,4433,18121,18636,5673,4257,13871
0500000US01051,01051,"Elmore County, Alabama",14527,3590,15543,12588,35123,17180,6987,7226,14420,2642,18800,5332,8754,3145
0500000US01055,01055,"Etowah County, Alabama",12812,4651,15008,7596,20436,8018,6875,6751,12315,4532,16422,6464,7425,7260
0500000US01069,01069,"Houston County, Alabama",16962,1355,20464,2160,29796,2324,6982,2319,14772,2168,20408,2724,6934,2681
0500000US01073,01073,"Jefferson County, Alabama",21387,1093,25123,3223,32401,2887,9117,2182,19526,1790,26842,1324,8224,1066
0500000US01077,01077,"Lauderdale County, Alabama",15578,8023,21093,2305,21448,1139,"2,500-",***,12532,4658,9676,10614,13542,9120
0500000US01081,01081,"Lee County, Alabama",19664,2288,22750,5065,28388,9222,10285,8689,16988,3723,22940,2617,8403,2781
0500000US01083,01083,"Limestone County, Alabama",21868,7696,26520,17973,38755,3778,6598,15630,19657,4891,22759,8663,11414,8160
0500000US01089,01089,"Madison County, Alabama",21035,1524,23720,3012,31004,6144,7156,2613,18381,3221,27090,5353,8942,2421
0500000US01097,01097,"Mobile County, Alabama",16864,1447,21707,1667,30564,4505,7802,2138,13728,1743,18749,1835,7869,2021
0500000US01101,01101,"Montgomery County, Alabama",18404,2103,22676,2528,30607,2135,9132,2085,16410,961,19929,2515,8462,1506
0500000US01103,01103,"Morgan County, Alabama",20626,2240,25471,3825,28366,2489,6625,9795,18702,3021,20202,2045,12065,6937
0500000US01115,01115,"St. Clair County, Alabama",19364,2963,19429,2437,19421,4416,20021,35926,19080,14909,22608,2883,5797,1681
0500000US01117,01117,"Shelby County, Alabama",31668,1513,31999,4665,35340,3683,10023,15070,31448,2202,33478,3355,11070,2856
0500000US01121,01121,"Talladega County, Alabama",14717,3672,14705,4972,20324,2612,9267,3508,14727,3991,17876,1710,3934,2498
0500000US01125,01125,"Tuscaloosa County, Alabama",19409,2388,22758,3933,27901,3290,9612,2946,17808,3432,26892,5766,8752,914
0500000US02020,02020,"Anchorage Municipality, Alaska",19891,5642,30950,21940,45990,12117,9192,10726,17332,5589,31280,2629,11996,8278
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",27962,14316,35488,8829,35889,3128,30909,35779,19599,7828,40181,25911,18010,4544
0500000US04001,04001,"Apache County, Arizona",31250,*,-,**,-,**,-,**,31250,*,-,**,31250,*
0500000US04003,04003,"Cochise County, Arizona",18734,7605,21726,10715,34228,15870,8458,1022,15493,11429,19158,23496,2897,8291
0500000US04005,04005,"Coconino County, Arizona",20613,32522,27837,24135,35585,10581,6553,15615,"2,500-",***,-,**,"2,500-",***
0500000US04013,04013,"Maricopa County, Arizona",26321,1327,28053,2085,31994,2175,15765,2594,25149,1500,30199,3143,10968,2644
0500000US04015,04015,"Mohave County, Arizona",11572,1706,11785,1636,11612,5068,13073,5778,3750,*,-,**,3750,*
0500000US04017,04017,"Navajo County, Arizona",11493,2771,11924,5938,38750,*,11636,4422,8650,10557,11250,*,"2,500-",***
0500000US04019,04019,"Pima County, Arizona",25054,2812,28189,2924,37008,8035,11879,3569,17251,9967,32245,6493,13467,7422
