GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Total:,Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Total:,Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Male -- - Other,Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error; Median earnings in the past 12 months (in 2016 inflation-adjusted dollars) -- - Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",16343,4550,12492,3366,70033,33681,10595,7358,21163,4122,26143,5770,14855,7447
0500000US01015,01015,"Calhoun County, Alabama",25188,4527,25802,6003,33708,6708,9511,3152,24371,4926,35991,6857,8906,1868
0500000US01043,01043,"Cullman County, Alabama",22703,26210,24966,26101,36395,1609,11217,4444,"2,500-",***,45625,101790,"2,500-",***
0500000US01051,01051,"Elmore County, Alabama",29016,4651,29559,5349,40773,24523,6722,843,28536,13158,23482,13582,35437,11120
0500000US01055,01055,"Etowah County, Alabama",21234,2515,40947,5214,42315,15760,7008,6933,19520,3967,23506,2911,4615,1676
0500000US01069,01069,"Houston County, Alabama",19379,1901,21912,2916,30814,2736,5828,1622,18165,2460,25803,1709,8983,1348
0500000US01073,01073,"Jefferson County, Alabama",24980,1050,25618,1561,36856,2463,8372,1190,24516,1062,33303,4753,9968,1676
0500000US01077,01077,"Lauderdale County, Alabama",23263,6158,20901,12330,35724,10552,5240,3282,24483,13293,37474,14457,7614,5448
0500000US01081,01081,"Lee County, Alabama",25829,2534,31040,5855,36378,4312,9080,10868,21223,4410,36746,9064,6959,2539
