GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male -- - Total,Margin of Error; Male -- - Total,"Estimate; Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months",Estimate; Male -- - Other,Margin of Error; Male -- - Other,Estimate; Female -- - Total,Margin of Error; Female -- - Total,"Estimate; Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months",Estimate; Female -- - Other,Margin of Error; Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",26917,1339,32439,1988,40146,2813,12182,3341,18620,3387,29563,2904,7928,3032
0500000US01015,01015,"Calhoun County, Alabama",25812,1755,33409,3901,42900,4415,12538,2652,17332,1488,27900,2536,7390,2133
0500000US01043,01043,"Cullman County, Alabama",21206,1237,25596,1923,32158,3571,6739,1569,17125,1960,21870,3347,9853,1667
0500000US01049,01049,"DeKalb County, Alabama",18750,1725,21816,2674,27319,4738,11495,3021,15158,1538,22397,3745,8458,1952
0500000US01051,01051,"Elmore County, Alabama",27684,2512,36042,2664,41969,4131,11154,3751,22007,1795,27907,3892,8519,3091
0500000US01055,01055,"Etowah County, Alabama",25443,1215,29484,3397,40331,5142,10062,2382,20829,1983,27349,3433,9070,3205
0500000US01069,01069,"Houston County, Alabama",25732,1084,32346,2131,39921,2489,11150,2176,20776,631,25921,1600,8625,1684
0500000US01073,01073,"Jefferson County, Alabama",32335,1250,40158,1566,47735,2493,11792,1361,26671,1433,36763,1352,10560,1100
0500000US01077,01077,"Lauderdale County, Alabama",23038,4229,31728,2114,39787,4469,11673,3179,17852,2136,30189,5426,9293,2349
0500000US01081,01081,"Lee County, Alabama",22793,2066,29324,3586,46281,6658,6892,1183,17429,2446,32103,2532,6080,1030
0500000US01083,01083,"Limestone County, Alabama",27844,2261,32725,4288,50069,4181,14591,5527,21130,3737,35699,6458,6130,1867
0500000US01089,01089,"Madison County, Alabama",31050,761,40664,2129,52732,4749,11045,1393,23896,1930,33192,3493,10204,898
0500000US01095,01095,"Marshall County, Alabama",24551,1908,30357,2656,36054,2575,11161,1925,17797,2440,25746,3195,7032,1162
0500000US01097,01097,"Mobile County, Alabama",29136,1547,36069,1508,43315,3947,14861,4297,21183,1034,29152,2152,8960,1083
0500000US01101,01101,"Montgomery County, Alabama",32619,1727,39324,3551,49914,5094,10635,2737,26247,2410,35004,2759,8474,2865
0500000US01103,01103,"Morgan County, Alabama",23388,3630,32661,3614,45765,4119,11639,1687,16443,1427,27911,3652,9221,927
0500000US01115,01115,"St. Clair County, Alabama",30644,2600,33895,4919,39220,5953,13729,5404,26425,3722,31415,2771,9903,2449
0500000US01117,01117,"Shelby County, Alabama",36058,1895,47505,3791,56266,2031,11188,1870,26777,1956,40485,2167,10707,2043
0500000US01121,01121,"Talladega County, Alabama",25766,2777,30019,5243,38119,3984,12354,4856,19769,4064,32393,6847,9030,2399
0500000US01125,01125,"Tuscaloosa County, Alabama",28960,2168,37745,3334,46923,3372,9959,2603,20847,2404,30937,1845,7998,1116
0500000US01127,01127,"Walker County, Alabama",24944,4143,31804,2164,36875,5185,11407,8377,16792,2631,28003,2908,7288,2211
0500000US02020,02020,"Anchorage Municipality, Alaska",38955,2384,45983,1738,56555,3240,24680,5585,30441,1919,41644,1340,14174,4225
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",31242,1919,37804,6675,51116,5877,18636,8152,26737,3250,35639,3355,12337,5332
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",25107,2129,27214,3824,36946,6412,16981,5005,20665,1896,34100,6024,10616,2435
0500000US04001,04001,"Apache County, Arizona",20400,2671,22350,13421,32549,6260,13732,4655,16124,2244,22003,7552,10927,3445
0500000US04003,04003,"Cochise County, Arizona",23298,3221,28799,4053,37474,5158,11926,2002,16282,2279,28230,4148,8860,1218
0500000US04005,04005,"Coconino County, Arizona",25008,1973,30788,2122,42332,3698,11757,2519,19133,3197,29584,2764,9306,3185
0500000US04013,04013,"Maricopa County, Arizona",30995,278,35069,608,41836,532,12850,912,26575,506,36406,519,11673,325
0500000US04015,04015,"Mohave County, Arizona",20280,1562,22341,2786,32360,3722,11058,973,17696,1958,25739,2373,10488,872
0500000US04017,04017,"Navajo County, Arizona",20023,1962,26825,5540,36287,6580,12620,4874,15857,1979,21849,3321,8468,1824
0500000US04019,04019,"Pima County, Arizona",27205,720,33546,2166,45309,2190,11695,902,22026,865,33453,1724,10717,604
0500000US04021,04021,"Pinal County, Arizona",31463,1255,36948,1418,42318,2960,17111,3720,25372,1527,32104,2274,11677,1052
0500000US04025,04025,"Yavapai County, Arizona",22470,1862,26801,2855,35674,2865,11924,3936,20085,3034,27278,3939,10484,1305
0500000US04027,04027,"Yuma County, Arizona",21315,1541,25506,3922,32615,4701,12296,3213,15165,3024,26213,3551,9324,1254
0500000US05007,05007,"Benton County, Arkansas",25801,963,31499,1102,38116,4652,14234,5449,20105,1781,28168,2304,8131,1650
0500000US05031,05031,"Craighead County, Arkansas",23898,3013,30184,2482,35351,2521,12125,2252,16852,2150,28138,3644,8583,1998
0500000US05045,05045,"Faulkner County, Arkansas",23549,1514,30006,3215,40255,2948,9436,2859,19667,2642,28977,3689,7590,1701
0500000US05051,05051,"Garland County, Arkansas",21075,2050,26069,3373,34029,5483,11151,1756,15758,2031,26205,3568,7657,2059
0500000US05069,05069,"Jefferson County, Arkansas",23548,2979,28839,4884,40080,6217,9291,5499,20850,1509,24236,3808,7179,3163
0500000US05119,05119,"Pulaski County, Arkansas",32231,1329,38821,2024,46580,1334,13318,1974,27221,2106,36282,2355,10635,1289
0500000US05125,05125,"Saline County, Arkansas",25930,1587,31786,1679,40356,3189,11097,826,21109,1204,29739,2511,11050,1594
0500000US05131,05131,"Sebastian County, Arkansas",25788,1736,30345,2329,36507,2116,11479,2377,20219,2208,28243,1939,10267,1589
0500000US05143,05143,"Washington County, Arkansas",24017,1663,30786,1596,40504,2736,11582,1028,19299,1871,27169,1525,7723,1351
0500000US05145,05145,"White County, Arkansas",20685,1801,25048,3463,37909,3813,10299,3181,15529,1878,25666,2673,9483,4055
0500000US06001,06001,"Alameda County, California",41130,898,48970,2920,61578,1505,17811,1874,34448,2579,51982,2374,15665,1549
0500000US06007,06007,"Butte County, California",22188,1346,26732,1936,42987,4951,11673,1100,18459,1853,29786,1725,9967,1386
0500000US06013,06013,"Contra Costa County, California",42234,879,53044,2636,71191,2764,20869,1986,32984,2416,51498,1198,15969,1675
0500000US06017,06017,"El Dorado County, California",31193,1757,38123,4282,61439,6596,17886,3106,24433,2176,39354,4303,11892,1198
0500000US06019,06019,"Fresno County, California",23105,1277,29999,2040,42053,1918,10299,858,18730,1638,33199,1915,9706,722
0500000US06023,06023,"Humboldt County, California",21771,1563,27020,2645,42332,3926,12337,2886,16607,2558,30473,2964,9912,1475
0500000US06025,06025,"Imperial County, California",23396,3209,31184,2446,40082,5408,15370,3078,14986,2658,22263,5056,10198,2247
0500000US06029,06029,"Kern County, California",24906,1532,31240,1369,44170,3417,12091,927,17712,1562,31625,1330,10188,817
0500000US06031,06031,"Kings County, California",21640,2941,25780,3824,38957,5429,10718,2783,15513,2292,30496,3236,9354,2177
0500000US06033,06033,"Lake County, California",21883,2944,25145,4790,35355,5154,17158,3889,17530,3087,31504,4175,10634,1444
0500000US06037,06037,"Los Angeles County, California",31059,304,35792,409,46056,878,17146,654,25777,526,38654,1408,12337,377
0500000US06039,06039,"Madera County, California",22226,2648,27882,3170,36020,5252,15058,6577,15761,3763,30251,3897,6164,1060
0500000US06041,06041,"Marin County, California",40809,1600,48318,6729,73859,9889,22183,3769,34964,3752,62285,8650,17910,4603
0500000US06045,06045,"Mendocino County, California",22921,2672,30910,3696,36885,6010,16569,1896,17174,3670,30495,3697,9048,2054
0500000US06047,06047,"Merced County, California",19862,1884,25137,4023,40149,6066,12020,2328,14748,1752,26024,5180,8140,1821
0500000US06053,06053,"Monterey County, California",23468,1587,27408,2663,43557,3530,13472,1881,19222,1809,36118,1799,11693,836
0500000US06055,06055,"Napa County, California",31410,2337,37044,3598,51722,8429,16189,9206,26669,1838,39103,3675,12490,2572
0500000US06057,06057,"Nevada County, California",25784,2294,34200,3776,46720,7470,17083,4978,20345,2446,33412,7987,11442,1048
0500000US06059,06059,"Orange County, California",36118,540,42558,1836,56684,1393,17263,827,29630,1186,44699,1929,12486,840
0500000US06061,06061,"Placer County, California",36118,1784,46170,3460,59754,5189,20608,3077,22969,2607,42045,3152,11053,1058
0500000US06065,06065,"Riverside County, California",29982,1158,36545,1241,47410,1363,15692,1121,22354,873,35812,880,11005,472
0500000US06067,06067,"Sacramento County, California",33840,1103,39679,1426,51130,1076,17012,1589,29446,1629,41691,1122,12467,1302
0500000US06071,06071,"San Bernardino County, California",28510,1085,35352,1207,42373,1502,13935,1555,21220,1029,35939,987,11165,513
0500000US06073,06073,"San Diego County, California",33039,941,38383,1354,49294,1357,15454,941,27456,1078,40403,823,12400,507
0500000US06075,06075,"San Francisco County, California",49903,2084,57047,3873,71993,4415,28223,4616,40846,1163,57067,4580,21916,1345
0500000US06077,06077,"San Joaquin County, California",30213,1545,36880,1743,45212,3328,16405,2393,22199,1737,37060,2294,9883,1054
0500000US06079,06079,"San Luis Obispo County, California",25223,1336,33126,3567,47418,3764,12100,1707,20830,1729,32600,4009,11914,1283
0500000US06081,06081,"San Mateo County, California",45604,1296,51361,1465,67175,5695,22141,2849,40399,1970,52750,3084,19503,2342
0500000US06083,06083,"Santa Barbara County, California",24875,1416,29864,2609,42276,2992,11005,1186,21259,1123,35185,2371,10313,936
0500000US06085,06085,"Santa Clara County, California",42431,1662,52303,2742,71939,2529,18331,2494,33166,2790,51718,1438,15821,1373
0500000US06087,06087,"Santa Cruz County, California",27497,3104,37262,2845,61141,4607,15120,3302,20847,1784,43153,4109,11385,923
0500000US06089,06089,"Shasta County, California",25251,1355,30651,1848,42173,3389,11077,2264,20827,2118,30209,2493,10155,1850
0500000US06095,06095,"Solano County, California",36624,1965,45448,2909,55682,4362,16255,3640,27980,2857,41545,1318,11428,1083
0500000US06097,06097,"Sonoma County, California",31939,810,39223,3884,51715,1568,16918,2052,27331,1891,41744,1412,14774,1853
0500000US06099,06099,"Stanislaus County, California",28039,1881,35587,1397,44561,2912,15027,1508,21127,1269,34073,2711,10457,753
0500000US06101,06101,"Sutter County, California",27288,4322,35917,5097,46387,2113,15583,5321,18996,5121,40249,7458,9796,1908
0500000US06107,06107,"Tulare County, California",23218,1507,26466,1409,34956,2893,11569,1269,20120,1744,29484,2584,9292,1153
0500000US06111,06111,"Ventura County, California",35664,1258,46584,3388,62195,1646,18145,2197,26831,1370,42104,1903,11805,649
0500000US06113,06113,"Yolo County, California",29985,2544,36025,4893,51901,4639,11223,2920,23412,2787,38584,3857,8429,3058
0500000US06115,06115,"Yuba County, California",21931,2517,28770,5981,40728,5798,16588,2662,15667,2225,24968,5998,8682,4474
0500000US08001,08001,"Adams County, Colorado",30409,907,34707,1548,40730,1647,13127,3032,25352,1627,35305,1852,11052,772
0500000US08005,08005,"Arapahoe County, Colorado",33767,1283,39848,3295,50729,1191,16537,1907,30111,1182,40492,1341,11471,969
0500000US08013,08013,"Boulder County, Colorado",30958,1479,39594,3686,59921,3741,14756,2401,23801,2321,43116,4483,11595,801
0500000US08031,08031,"Denver County, Colorado",31350,770,33324,2266,42397,1925,16446,1005,29676,1604,41498,1440,12565,2479
0500000US08035,08035,"Douglas County, Colorado",44154,2092,60502,2964,69867,2109,16898,3190,33055,1855,46773,2229,15337,1924
0500000US08041,08041,"El Paso County, Colorado",30022,1079,36491,945,45868,1259,11641,859,23503,1351,35280,1700,10726,625
0500000US08059,08059,"Jefferson County, Colorado",35335,859,41853,884,52505,1653,17207,1649,28375,2295,42403,1752,12130,668
