GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Total:,Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Total:,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Total,Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Total,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Other,Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Other,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total,Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months","Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months",Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other,Margin of Error; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other
0500000US01003,01003,"Baldwin County, Alabama",30586,1263,35452,4636,45331,5692,11485,3145,22415,3008,35611,4057,10019,1603
0500000US01015,01015,"Calhoun County, Alabama",23176,3045,35142,5172,45264,4314,9551,3249,16839,2543,26678,3532,7091,1234
0500000US01043,01043,"Cullman County, Alabama",23135,2967,27400,4202,37693,4175,9707,2081,20164,2323,29788,2644,9918,2051
0500000US01049,01049,"DeKalb County, Alabama",26783,932,31237,1116,35118,5452,9925,5233,23671,3100,26103,1151,11322,884
0500000US01051,01051,"Elmore County, Alabama",33146,4279,40255,4006,48981,3695,7308,2333,28290,3509,37041,4451,6490,3703
0500000US01055,01055,"Etowah County, Alabama",21899,2329,26123,4599,40086,6184,13578,2564,17309,1909,31414,2106,9578,1814
0500000US01069,01069,"Houston County, Alabama",30770,1643,37687,3057,45383,4630,11348,2041,25002,3240,32242,3067,9731,881
0500000US01073,01073,"Jefferson County, Alabama",36035,1524,43098,4758,56885,4276,10963,1136,27655,3190,41120,1317,9266,1295
0500000US01077,01077,"Lauderdale County, Alabama",27456,4138,38786,5278,51021,6023,10621,1797,18194,1856,31106,1036,7898,2016
0500000US01081,01081,"Lee County, Alabama",22944,3236,31461,3677,51735,4158,5976,1191,17662,2550,37727,3685,5987,949
0500000US01083,01083,"Limestone County, Alabama",33737,3942,40451,3955,51180,8783,13892,5665,23938,5894,39388,3754,8588,1937
0500000US01089,01089,"Madison County, Alabama",37105,2376,49708,4089,61692,2946,10044,1144,28651,3840,46688,5561,9852,1811
0500000US01095,01095,"Marshall County, Alabama",25343,2536,30455,2078,37071,4512,6656,1114,20922,1165,29201,4796,7857,2024
0500000US01097,01097,"Mobile County, Alabama",29411,2068,38980,3659,49695,2339,12137,2617,21951,1626,33008,3192,7897,1089
0500000US01101,01101,"Montgomery County, Alabama",35472,3095,41598,3104,52163,3755,10744,914,31056,1481,41142,4127,11291,1359
0500000US01103,01103,"Morgan County, Alabama",28278,3081,37305,3588,47396,5716,12147,1911,20556,2477,35057,4715,6841,2317
