GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0500000US01015,01015,"Calhoun County, Alabama",20642,900,8224,1897,2908,962,755,279,149,174,42,57,264,199,0,267,230,338,363,248,93,132,421,427,325,300,167,257,99,169,0,267,5316,1320,215,219,0,267,409,257,258,245,321,278,20,40,645,407,707,295,744,358,715,359,652,277,288,157,342,213,12418,1954,5842,967,135,190,104,116,589,333,182,177,92,136,143,186,468,251,724,235,1221,422,823,295,1068,375,75,124,218,221,6576,1336,568,277,54,86,755,325,242,169,156,162,68,122,763,432,948,295,853,358,878,353,504,277,439,157,348,191
0500000US01055,01055,"Etowah County, Alabama",14333,1042,4858,1546,2577,954,285,173,0,267,406,182,180,167,172,256,0,267,0,267,391,372,361,358,373,298,36,67,123,198,250,232,2281,777,344,190,96,160,146,126,0,267,0,267,105,138,208,188,577,354,193,293,213,201,243,155,14,23,142,144,9475,1529,4061,914,265,194,100,124,273,201,268,205,185,270,111,122,462,347,643,434,453,264,542,339,453,268,267,141,39,68,5414,856,43,50,99,149,368,236,319,215,172,142,110,140,201,173,783,438,1296,457,573,278,529,156,450,232,471,249
0500000US01069,01069,"Houston County, Alabama",24106,329,7580,1063,2741,549,720,217,23,40,400,192,350,197,114,100,104,84,247,112,114,86,125,97,276,171,160,116,46,57,62,70,4839,672,664,204,174,162,652,288,104,78,161,141,174,117,411,170,894,268,362,203,469,184,435,126,189,104,150,105,16526,1094,8186,586,390,219,51,85,881,281,435,215,150,87,166,89,887,119,1407,129,1144,130,1176,171,730,136,461,57,308,70,8340,680,382,192,140,91,751,247,239,156,51,80,318,150,817,170,1174,281,1460,203,1310,184,738,126,595,104,365,127
0500000US01073,01073,"Jefferson County, Alabama",264201,1941,71316,7030,28924,3706,3715,1337,1157,664,3266,1047,1946,747,845,425,1631,742,3580,987,2142,852,2856,1003,3778,1052,2096,754,1213,481,699,433,42392,4157,5462,1188,969,483,4413,1188,2472,687,1044,485,1697,656,4093,1111,6344,1189,4772,1199,3795,963,2949,756,2450,679,1932,585,192885,6689,91631,3505,6599,1175,1601,637,6893,1068,5635,1161,753,355,3372,819,9684,1081,14402,894,13070,998,13433,1099,9333,776,3810,498,3046,449,101254,4067,4989,1150,1006,481,7321,1332,3375,837,1328,462,2676,671,10034,1159,13675,1171,15254,1162,18753,943,11672,770,5304,679,5867,597
0500000US01081,01081,"Lee County, Alabama",28562,1268,7146,1685,3326,754,317,202,102,169,775,382,173,144,461,192,230,180,254,218,208,221,267,262,0,267,262,267,231,180,46,85,3820,1094,197,207,210,253,218,270,133,218,0,267,32,57,661,363,657,366,592,383,246,179,356,227,298,171,220,197,21416,1811,10061,882,589,197,42,59,867,393,223,183,45,65,167,171,1747,617,1583,438,2175,377,1242,316,879,267,268,159,234,156,11355,1114,627,319,135,132,892,319,732,359,155,169,637,185,1001,453,1889,370,1409,390,1963,179,1002,227,499,171,414,196
0500000US01089,01089,"Madison County, Alabama",67176,1674,15008,2978,5302,1513,1350,815,307,311,1245,530,343,304,162,249,183,167,278,239,425,407,77,125,388,338,256,178,146,178,142,150,9706,2057,1134,669,169,214,1561,668,277,302,0,267,277,319,2169,993,2136,571,510,386,818,529,214,189,275,199,166,191,52168,3133,23793,1730,1287,677,317,288,2469,737,1129,497,646,498,913,507,751,606,3779,922,3942,571,4250,339,2577,178,1188,183,545,159,28375,2209,1535,687,444,398,2613,632,1069,499,739,375,927,418,2854,974,3595,841,5060,386,4028,655,3039,258,1499,199,973,216
0500000US01097,01097,"Mobile County, Alabama",136143,1364,50339,4816,19454,2525,4146,688,238,280,3647,903,1426,714,599,343,647,404,1481,598,1551,821,1589,680,2148,777,882,430,720,326,380,272,30885,3013,4410,680,512,372,3378,974,2041,719,326,319,1247,643,3343,762,5239,1002,2136,715,3822,890,2013,570,1301,434,1117,381,85804,4928,43863,2549,1988,699,592,234,3968,930,2459,755,706,479,1948,682,5047,692,7215,821,5651,680,6307,791,4517,455,2133,325,1332,313,41941,3133,1484,654,361,334,3010,875,2414,778,743,486,1640,635,3681,815,5187,1061,6935,771,6961,892,4790,556,2677,452,2058,431
0500000US01101,01101,"Montgomery County, Alabama",113567,1340,32600,5077,12885,2497,2556,925,622,454,3112,858,892,543,239,307,178,201,1433,769,911,582,587,356,1276,601,545,305,460,227,74,95,19715,3170,2575,850,444,447,2434,1103,473,340,467,412,531,385,3065,826,3119,704,1314,528,2445,799,1282,497,836,451,730,319,80967,5171,38667,2665,2987,903,0,267,3616,951,1386,652,1273,573,1291,523,4037,896,6653,794,6155,397,5376,628,3417,513,1500,227,976,140,42300,3061,2588,856,246,220,3632,1041,1933,602,683,442,1398,677,3818,853,6246,723,7277,528,6662,890,3951,497,2149,451,1717,334
0500000US01121,01121,"Talladega County, Alabama",24602,472,8004,1910,3368,886,79,139,144,165,516,352,451,321,187,172,366,327,188,304,0,267,410,402,645,400,293,200,89,105,0,267,4636,1224,107,187,138,228,318,253,411,277,90,138,124,174,406,307,895,465,723,436,450,240,272,220,277,202,425,179,16598,1827,8755,1033,1235,499,0,267,395,342,225,229,161,182,55,75,1169,309,1607,517,1252,505,1007,391,819,200,497,247,333,262,7843,1194,436,459,39,78,911,429,32,50,37,65,210,233,1071,307,919,379,1065,434,1371,266,979,209,497,202,276,179
