GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0500000US01003,01003,"Baldwin County, Alabama",160708,1804,14981,5197,7369,2725,447,532,49,59,553,504,443,509,6,11,7,12,657,506,1068,1188,1416,1053,1476,1177,835,513,226,189,186,226,7612,3092,563,507,0,190,1219,1333,581,733,87,146,0,190,800,731,1220,1025,720,525,815,565,514,366,168,130,925,524,145727,5250,69718,2974,3623,532,1147,757,5308,1055,2195,817,1432,589,1416,591,4328,663,9176,2022,8008,1058,9702,1208,10187,513,7891,200,5305,226,76009,3802,3508,550,110,120,5905,1726,3682,1673,977,494,1853,483,4429,731,7978,945,10089,1242,10859,608,11688,461,9120,730,5811,533
0500000US01015,01015,"Calhoun County, Alabama",86543,1313,16635,3349,7568,1738,1026,545,307,365,711,377,525,420,96,134,97,138,1054,570,1239,751,429,362,530,300,788,481,602,370,164,170,9067,2122,469,382,242,198,1097,486,905,641,173,197,343,372,802,533,1476,570,1000,598,845,401,866,517,420,335,429,245,69908,3282,34449,1723,1509,479,335,268,2188,741,1177,665,954,327,407,257,2348,613,4074,731,5018,422,5817,387,5220,483,3164,370,2238,192,35459,2176,1627,392,501,267,1716,502,603,292,0,190,1027,344,3104,563,3541,531,4297,606,5689,412,5450,519,4051,339,3853,551
0500000US01043,01043,"Cullman County, Alabama",75745,1413,13305,3094,5474,1378,278,307,12,22,1448,754,131,130,22,38,311,240,473,265,502,427,870,452,602,430,263,163,553,378,9,15,7831,2011,757,582,265,291,1388,675,242,254,0,190,278,332,640,386,1516,595,321,225,899,437,374,301,455,273,696,390,62440,3216,31683,1617,1763,316,319,211,1884,653,1205,594,382,318,798,327,2807,485,4094,399,3689,479,5079,486,4701,166,2843,380,2119,203,30757,1914,1253,582,172,230,1652,536,1265,483,248,234,857,372,2311,401,2985,544,4304,243,4805,551,4801,312,3644,294,2460,399
0500000US01049,01049,"DeKalb County, Alabama",63863,2223,10365,2360,4495,1241,407,302,61,103,962,629,228,225,0,190,152,195,472,288,483,300,392,306,418,283,556,308,197,193,167,152,5870,1443,381,280,0,190,635,465,321,233,86,150,14,25,704,389,1201,499,473,301,488,235,590,339,430,283,547,368,53498,3317,26880,2252,1790,826,82,63,1445,494,1024,437,329,205,823,235,1806,288,3065,473,4694,1100,4615,911,3433,312,2382,193,1392,156,26618,1617,1216,230,194,161,1522,644,1013,406,884,889,1035,609,1839,467,3010,776,3743,501,4394,488,3629,337,2544,283,1595,410
0500000US01051,01051,"Elmore County, Alabama",57498,1059,4292,1358,1690,672,202,187,46,88,212,203,70,115,88,147,68,87,98,121,240,261,311,231,0,190,129,140,145,149,81,107,2602,945,324,318,0,190,351,332,0,190,0,190,38,79,285,277,505,373,363,313,495,415,77,89,130,193,34,43,53206,1328,25500,758,1492,187,341,261,2068,532,967,474,273,222,680,259,1703,356,2806,303,3458,235,4357,197,3721,215,2373,151,1261,132,27706,959,1455,143,258,256,1709,600,1392,569,426,302,560,296,2094,282,3313,446,3989,299,4291,427,3931,156,2462,213,1826,148
0500000US01055,01055,"Etowah County, Alabama",83160,1173,12717,2275,5324,1271,392,270,254,245,718,409,172,175,67,79,298,229,623,471,882,498,626,338,537,297,515,224,136,138,104,102,7393,1455,577,369,0,190,623,463,295,281,40,71,74,95,725,405,1082,602,1008,495,1058,389,922,443,503,346,486,278,70443,2515,34773,1438,1735,343,465,401,2660,777,1080,624,607,330,787,379,2448,511,3384,512,4814,367,5531,397,5377,223,3482,185,2403,102,35670,1555,1560,472,230,235,2282,488,1504,440,327,237,1069,290,2432,383,3901,392,4726,553,5014,389,5277,456,3901,346,3447,456
0500000US01069,01069,"Houston County, Alabama",70734,669,7409,1063,3123,659,300,144,67,87,489,240,320,178,41,51,263,130,319,151,283,135,317,132,372,170,213,83,82,70,57,47,4286,615,217,125,110,113,585,206,219,130,77,64,46,48,463,179,739,249,395,176,476,210,467,147,256,117,236,132,63325,1184,31225,675,1671,131,323,154,2228,434,1119,278,396,126,562,164,2254,183,3853,148,4179,135,4923,180,4518,83,3164,74,2035,91,32100,756,1630,104,393,185,1728,265,1190,285,359,128,815,142,2146,166,3441,251,4194,197,4860,287,4794,147,3525,122,3025,311
0500000US01073,01073,"Jefferson County, Alabama",337784,3130,29788,4718,13975,2775,469,388,309,309,1211,887,459,351,376,242,262,334,3088,1687,1459,719,1060,544,2366,792,1766,624,793,420,357,369,15813,2837,856,547,31,52,773,473,633,543,205,216,73,87,3059,1151,2171,799,1170,500,1948,737,2063,771,1020,456,1811,957,307996,5424,148732,3081,9180,541,1929,1218,9930,1321,4532,1021,2222,564,2981,749,9588,1786,22100,876,20117,783,22434,958,21057,634,12364,439,10298,400,159264,3336,9066,736,1406,686,10772,1312,4482,1132,1845,544,3452,514,9970,1280,21460,854,19442,500,24182,898,23053,799,14904,427,15230,1078
0500000US01077,01077,"Lauderdale County, Alabama",79104,752,10199,2416,3573,1030,477,365,55,96,257,232,21,33,0,190,58,77,1014,548,648,450,300,236,180,180,204,173,240,294,119,198,6626,1808,706,418,41,52,641,587,0,190,201,291,37,67,1160,684,805,498,489,345,753,465,742,511,601,344,450,303,68905,2490,34220,1117,1656,211,242,237,2413,709,1385,644,411,239,1257,315,2400,546,3777,488,4502,360,5302,180,5258,197,3424,294,2193,300,34685,1838,1056,422,46,65,1514,667,2313,714,421,344,779,347,2733,744,3529,487,4728,382,5182,465,5211,546,3649,344,3524,422
