GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US01069,01069,"Houston County, Alabama",17352,200,7515,170,795,135,354,100,0,270,354,100,229,92,125,72,441,147,829,270,556,174,0,270,556,174,390,169,166,132,273,174,4194,108,3536,253,0,270,3536,253,3114,319,422,244,658,246,865,24,298,116,0,270,298,116,282,116,16,28,567,119,184,109,86,100,86,100,0,270,98,98,648,109,104,73,104,73,0,270,544,115,9837,108,820,108,256,138,0,270,256,138,187,119,69,66,564,179,944,270,696,179,0,270,696,179,497,201,199,184,248,179,5648,270,3855,352,0,270,3855,352,3449,393,406,210,1793,352,1063,270,217,154,0,270,217,154,207,146,10,19,846,154,418,110,75,96,75,96,0,270,343,126,944,110,88,73,88,73,0,270,856,130
0500000US01073,01073,"Jefferson County, Alabama",194236,1364,84819,712,7330,618,2990,639,0,270,2990,639,2242,709,748,581,4340,781,9149,23,8416,420,0,270,8416,420,6261,955,2155,847,733,421,49299,307,39445,2133,85,100,39360,2120,35927,2419,3433,1162,9854,2103,9942,270,5985,868,0,270,5985,868,5631,869,354,310,3957,868,2698,541,634,304,578,298,56,93,2064,559,6401,541,575,422,518,409,57,97,5826,530,109417,1241,7198,962,2795,924,0,270,2795,924,1512,697,1283,780,4403,1152,10540,410,8487,902,0,270,8487,902,6280,1044,2207,948,2053,825,63468,893,47735,2341,0,270,47735,2341,42115,2357,5620,1372,15733,2172,12557,103,5799,912,0,270,5799,912,5317,910,482,366,6758,915,4455,686,751,362,688,350,63,106,3704,743,11199,664,692,431,541,412,151,144,10507,866
0500000US01081,01081,"Lee County, Alabama",20667,215,9360,194,542,207,271,189,0,270,271,189,219,182,52,77,271,152,1746,73,1381,392,20,36,1361,393,835,474,526,395,365,389,5408,33,4681,325,105,173,4576,374,4114,502,462,296,727,334,956,270,589,186,0,270,589,186,589,186,0,270,367,186,393,160,66,107,66,107,0,270,327,164,315,160,32,35,17,26,15,24,283,156,11307,146,922,122,365,218,0,270,365,218,238,185,127,102,557,241,1443,270,669,376,0,270,669,376,527,371,142,159,774,376,6508,104,5722,337,0,270,5722,337,5412,423,310,201,786,324,1117,270,336,176,0,270,336,176,336,176,0,270,781,176,484,152,42,77,42,77,0,270,442,162,833,152,12,21,12,21,0,270,821,150
0500000US01089,01089,"Madison County, Alabama",48957,710,22333,337,2184,309,1136,386,0,270,1136,386,758,408,378,251,1048,343,2642,195,2435,270,0,270,2435,270,2155,342,280,215,207,194,13214,176,11140,674,167,165,10973,654,9920,897,1053,771,2074,646,2468,270,1301,491,0,270,1301,491,1301,491,0,270,1167,491,526,375,293,311,293,311,0,270,233,267,1299,375,73,95,73,95,0,270,1226,367,26624,560,2098,331,944,354,0,270,944,354,433,254,511,321,1154,383,3299,103,2974,341,0,270,2974,341,1956,621,1018,560,325,303,15658,324,12842,827,0,270,12842,827,12233,894,609,407,2816,687,2885,115,1641,447,0,270,1641,447,1452,429,189,178,1244,441,1149,256,166,169,117,135,49,81,983,263,1535,256,210,193,210,193,0,270,1325,265
0500000US01097,01097,"Mobile County, Alabama",96669,799,42453,518,4689,408,1725,512,0,270,1725,512,858,363,867,414,2964,611,4890,158,3059,765,0,270,3059,765,2257,762,802,561,1831,748,23337,135,18029,1387,63,103,17966,1419,16246,1517,1720,666,5308,1395,4920,270,2453,554,0,270,2453,554,2453,554,0,270,2467,554,1742,492,326,260,326,260,0,270,1416,582,2875,492,206,191,160,172,46,80,2669,512,54216,536,4058,474,1649,648,0,270,1649,648,1319,561,330,213,2409,706,5348,82,3296,826,0,270,3296,826,2779,893,517,346,2052,827,30798,150,22235,1569,0,270,22235,1569,20716,1604,1519,629,8563,1533,6349,270,2951,635,0,270,2951,635,2909,633,42,69,3398,635,2139,508,393,249,335,221,58,99,1746,516,5524,510,234,167,234,167,0,270,5290,499
0500000US01101,01101,"Montgomery County, Alabama",80036,901,34796,770,3912,497,2113,780,0,270,2113,780,2077,780,36,66,1799,793,3960,323,3194,707,0,270,3194,707,1994,806,1200,1078,766,530,20055,372,16272,1098,19,35,16253,1099,15104,1128,1149,588,3783,993,3731,103,2046,453,0,270,2046,453,1952,447,94,113,1685,471,1628,252,831,575,831,575,0,270,797,481,1510,252,42,74,42,74,0,270,1468,270,45240,507,4050,391,1529,427,0,270,1529,427,512,363,1017,331,2521,572,5136,59,4026,511,0,270,4026,511,2668,752,1358,776,1110,513,26197,344,20429,1361,84,125,20345,1369,17937,1554,2408,821,5768,1283,4538,270,2453,584,0,270,2453,584,2366,586,87,99,2085,584,1157,374,223,192,223,192,0,270,934,366,4162,374,144,144,144,144,0,270,4018,367
0500000US01125,01125,"Tuscaloosa County, Alabama",34609,680,14567,630,1519,785,1037,686,0,270,1037,686,397,397,640,605,482,408,2263,779,1591,787,0,270,1591,787,1286,743,305,293,672,637,7828,616,5533,867,0,270,5533,867,5345,851,188,175,2295,704,1544,270,1027,238,0,270,1027,238,1027,238,0,270,517,238,921,323,70,93,70,93,0,270,851,353,492,323,0,270,0,270,0,270,492,323,20042,206,1862,627,462,404,0,270,462,404,125,147,337,397,1400,588,2166,566,1889,673,0,270,1889,673,1115,434,774,548,277,273,11531,270,8480,884,60,95,8420,883,7372,1038,1048,576,3051,884,1976,270,514,244,0,270,514,244,514,244,0,270,1462,244,477,278,157,170,95,112,62,97,320,229,2030,278,101,114,101,114,0,270,1929,298
0500000US04013,04013,"Maricopa County, Arizona",99103,2997,50332,1671,4733,913,2435,911,0,291,2435,911,2042,932,393,305,2298,810,5710,407,5010,562,57,101,4953,587,4748,697,205,216,700,441,31740,894,27705,1495,215,288,27490,1570,25262,1891,2228,1051,4035,1130,4484,529,2771,774,0,291,2771,774,2628,802,143,169,1713,683,1804,395,226,270,226,270,0,291,1578,460,1861,383,230,223,230,223,0,291,1631,355,48771,1937,4249,921,1894,703,0,291,1894,703,1629,654,265,276,2355,734,5050,795,3426,1010,0,291,3426,1010,3082,987,344,324,1624,789,29614,972,20867,1876,0,291,20867,1876,17858,1982,3009,1235,8747,1749,4915,367,2600,620,0,291,2600,620,2398,606,202,197,2315,643,1802,461,858,400,702,410,156,174,944,403,3141,542,0,291,0,291,0,291,3141,542
0500000US05069,05069,"Jefferson County, Arkansas",28272,593,12351,400,1268,440,409,285,0,260,409,285,119,165,290,218,859,298,1656,339,1516,348,0,260,1516,348,916,369,600,320,140,179,6827,321,5293,632,0,260,5293,632,4767,676,526,276,1534,551,1327,260,920,249,0,260,920,249,641,288,279,292,407,249,763,264,176,191,176,191,0,260,587,249,510,252,141,142,87,100,54,95,369,217,15921,379,1658,221,837,350,0,260,837,350,613,346,224,196,821,373,1697,49,1329,278,0,260,1329,278,788,414,541,410,368,275,8911,121,7505,491,0,260,7505,491,6918,627,587,351,1406,486,1655,260,772,294,0,260,772,294,772,294,0,260,883,294,551,191,103,105,103,105,0,260,448,203,1449,184,54,88,54,88,0,260,1395,187
