GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US01003,01003,"Baldwin County, Alabama",119348,833,57649,561,3469,456,1991,531,0,265,1991,531,1711,494,280,284,1478,525,4302,265,4053,197,0,265,4053,197,3993,221,60,87,249,197,30009,275,27457,761,85,137,27372,774,26946,881,426,354,2552,689,8288,59,5255,639,41,70,5214,645,4958,624,256,284,3033,632,3672,607,742,355,742,355,0,265,2930,635,7909,607,1287,509,1221,500,66,106,6622,652,61699,604,3435,397,1539,444,0,265,1539,444,1316,407,223,199,1896,590,4316,213,2832,641,0,265,2832,641,2525,562,307,351,1484,680,30781,288,20859,1405,0,265,20859,1405,19908,1429,951,525,9922,1412,9110,265,3708,605,0,265,3708,605,3652,616,56,94,5402,605,3978,572,1130,479,1130,479,0,265,2848,590,10079,572,495,294,432,282,63,102,9584,567
0500000US01015,01015,"Calhoun County, Alabama",71064,433,33947,298,2566,161,1151,316,0,265,1151,316,655,306,496,255,1415,321,2857,74,2669,196,0,265,2669,196,2379,296,290,226,188,185,17537,165,14210,821,151,225,14059,888,13556,838,503,329,3327,832,5301,102,3296,575,0,265,3296,575,3133,569,163,188,2005,569,1465,431,688,371,614,364,74,119,777,332,4221,411,467,279,467,279,0,265,3754,451,37117,267,2381,205,1307,396,0,265,1307,396,1009,406,298,284,1074,392,3001,122,2254,324,0,265,2254,324,1834,376,420,367,747,333,17677,162,12318,706,0,265,12318,706,11713,805,605,300,5359,715,5699,265,2246,503,0,265,2246,503,2193,497,53,90,3453,503,2002,421,553,301,421,242,132,167,1449,434,6357,421,453,286,453,286,0,265,5904,401
0500000US01043,01043,"Cullman County, Alabama",61576,604,29906,374,1968,288,1012,282,0,265,1012,282,734,297,278,240,956,377,2192,14,1669,361,0,265,1669,361,1501,390,168,151,523,361,16326,222,13966,846,122,208,13844,824,13250,968,594,458,2360,791,4454,144,3082,480,0,265,3082,480,3029,482,53,88,1372,488,1643,394,405,208,405,208,0,265,1238,380,3323,394,463,248,463,248,0,265,2860,392,31670,533,1993,542,1201,534,0,265,1201,534,1201,534,0,265,792,304,2202,36,1240,429,0,265,1240,429,1240,429,0,265,962,432,15918,390,11528,802,0,265,11528,802,10696,921,832,465,4390,810,4716,178,2415,502,0,265,2415,502,2415,502,0,265,2301,535,1802,327,343,194,343,194,0,265,1459,322,5039,327,518,336,518,336,0,265,4521,405
0500000US01049,01049,"DeKalb County, Alabama",50722,833,24677,422,2032,549,1048,443,0,265,1048,443,880,402,168,198,984,514,1801,489,1413,429,0,265,1413,429,1259,457,154,172,388,457,13602,250,11557,635,0,265,11557,635,10535,865,1022,543,2045,553,3522,105,1509,411,0,265,1509,411,1382,391,127,125,2013,394,928,287,248,146,248,146,0,265,680,265,2792,287,372,298,372,298,0,265,2420,382,26045,553,1393,496,419,320,0,265,419,320,327,298,92,140,974,488,1643,138,1039,378,0,265,1039,378,987,383,52,67,604,353,13807,324,10356,1089,0,265,10356,1089,9783,1157,573,405,3451,1051,3762,133,1373,426,0,265,1373,426,1223,394,150,150,2389,426,1617,381,207,174,207,174,0,265,1410,368,3823,381,174,174,174,174,0,265,3649,391
0500000US01051,01051,"Elmore County, Alabama",45810,394,22792,186,1616,408,757,430,0,265,757,430,587,469,170,195,859,499,1993,375,1630,380,0,265,1630,380,1630,380,0,265,363,299,12589,63,10963,402,233,185,10730,421,10364,517,366,302,1626,394,3376,265,1906,395,0,265,1906,395,1672,391,234,243,1470,395,1011,270,190,161,190,161,0,265,821,276,2207,270,212,187,212,187,0,265,1995,284,23018,306,1158,378,558,319,0,265,558,319,472,306,86,115,600,270,1805,266,1082,372,0,265,1082,372,713,457,369,391,723,348,12668,90,8324,821,31,51,8293,819,8141,816,152,169,4344,801,3289,35,1333,414,57,93,1276,427,1276,427,0,265,1956,416,1135,263,181,149,181,149,0,265,954,275,2963,263,0,265,0,265,0,265,2963,263
0500000US01055,01055,"Etowah County, Alabama",69773,557,33155,363,2239,219,1225,328,0,265,1225,328,782,317,443,290,1014,308,2517,265,1849,373,81,124,1768,374,1580,407,188,186,668,373,17258,264,13916,877,66,112,13850,860,13580,876,270,211,3342,805,5289,265,2781,572,0,265,2781,572,2704,566,77,108,2508,572,1837,346,580,295,580,295,0,265,1257,342,4015,346,412,260,333,239,79,135,3603,357,36618,348,2108,299,861,310,0,265,861,310,667,214,194,251,1247,368,2583,264,1911,422,0,265,1911,422,1564,361,347,294,672,344,17555,232,10849,1059,0,265,10849,1059,10415,1039,434,266,6706,1091,5697,265,2660,606,0,265,2660,606,2619,600,41,67,3037,606,2125,411,159,143,159,143,0,265,1966,419,6550,410,645,300,594,288,51,82,5905,398
0500000US01069,01069,"Houston County, Alabama",54853,404,26011,249,1767,243,1018,314,0,265,1018,314,795,342,223,161,749,231,1939,265,1734,128,17,28,1717,129,1652,154,65,65,205,128,13649,79,12114,392,30,36,12084,400,11877,418,207,128,1535,377,4165,265,2686,253,0,265,2686,253,2628,255,58,62,1479,253,1479,232,328,146,328,146,0,265,1151,234,3012,232,430,132,430,132,0,265,2582,240,28842,261,1570,155,881,177,0,265,881,177,790,179,91,95,689,139,1781,265,1387,142,0,265,1387,142,1239,192,148,146,394,142,14381,122,10567,518,0,265,10567,518,10121,526,446,187,3814,517,4510,265,2069,260,0,265,2069,260,2042,258,27,32,2441,260,1764,242,432,148,432,148,0,265,1332,274,4836,270,162,87,147,78,15,25,4674,245
0500000US01073,01073,"Jefferson County, Alabama",299027,1496,142589,1164,9107,758,4130,741,0,265,4130,741,3325,756,805,393,4977,974,11153,242,9660,666,0,265,9660,666,8991,695,669,422,1493,621,75723,845,68722,1244,143,188,68579,1299,66173,1462,2406,882,7001,1070,22665,212,15971,965,0,265,15971,965,15675,955,296,197,6694,929,7112,747,2773,660,2773,660,0,265,4339,672,16829,747,2976,697,2800,699,176,167,13853,806,156438,800,8572,655,3792,697,0,265,3792,697,3023,677,769,472,4780,935,10467,161,7178,788,0,265,7178,788,6594,870,584,381,3289,797,75481,325,53562,2197,0,265,53562,2197,50684,2275,2878,830,21919,2231,24447,138,13412,984,0,265,13412,984,13046,989,366,303,11035,982,9150,1054,2080,623,1985,612,95,133,7070,1030,28321,997,1776,487,1631,486,145,172,26545,967
0500000US01077,01077,"Lauderdale County, Alabama",63347,387,29749,218,1720,197,735,367,0,265,735,367,419,290,316,262,985,411,2863,93,2266,732,0,265,2266,732,2266,732,0,265,597,732,15114,265,12611,830,0,265,12611,830,11874,904,737,428,2503,830,4570,33,2894,483,0,265,2894,483,2877,484,17,28,1676,493,1484,431,787,393,787,393,0,265,697,372,3998,431,91,105,43,74,48,79,3907,438,33598,292,2555,629,1373,659,0,265,1373,659,1144,613,229,363,1182,426,2701,601,2146,634,0,265,2146,634,2033,649,113,140,555,451,15658,153,11159,860,0,265,11159,860,10472,987,687,450,4499,861,4962,265,2311,541,0,265,2311,541,2311,541,0,265,2651,541,2084,488,525,287,525,287,0,265,1559,444,5638,488,84,109,84,109,0,265,5554,515
