GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 19 years:,Margin of Error; Male: - 16 to 19 years:,Estimate; Male: - 16 to 19 years: - In labor force:,Margin of Error; Male: - 16 to 19 years: - In labor force:,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 19 years: - Not in labor force,Margin of Error; Male: - 16 to 19 years: - Not in labor force,Estimate; Male: - 20 to 24 years:,Margin of Error; Male: - 20 to 24 years:,Estimate; Male: - 20 to 24 years: - In labor force:,Margin of Error; Male: - 20 to 24 years: - In labor force:,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 20 to 24 years: - Not in labor force,Margin of Error; Male: - 20 to 24 years: - Not in labor force,Estimate; Male: - 25 to 54 years:,Margin of Error; Male: - 25 to 54 years:,Estimate; Male: - 25 to 54 years: - In labor force:,Margin of Error; Male: - 25 to 54 years: - In labor force:,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 25 to 54 years: - Not in labor force,Margin of Error; Male: - 25 to 54 years: - Not in labor force,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - In labor force:,Margin of Error; Male: - 55 to 64 years: - In labor force:,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 55 to 64 years: - Not in labor force,Margin of Error; Male: - 55 to 64 years: - Not in labor force,Estimate; Male: - 65 to 69 years:,Margin of Error; Male: - 65 to 69 years:,Estimate; Male: - 65 to 69 years: - In labor force:,Margin of Error; Male: - 65 to 69 years: - In labor force:,Estimate; Male: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Male: - 65 to 69 years: - Not in labor force,Margin of Error; Male: - 65 to 69 years: - Not in labor force,Estimate; Male: - 70 years and over:,Margin of Error; Male: - 70 years and over:,Estimate; Male: - 70 years and over: - In labor force:,Margin of Error; Male: - 70 years and over: - In labor force:,Estimate; Male: - 70 years and over: - In labor force: - Employed,Margin of Error; Male: - 70 years and over: - In labor force: - Employed,Estimate; Male: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed,Estimate; Male: - 70 years and over: - Not in labor force,Margin of Error; Male: - 70 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 19 years:,Margin of Error; Female: - 16 to 19 years:,Estimate; Female: - 16 to 19 years: - In labor force:,Margin of Error; Female: - 16 to 19 years: - In labor force:,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 19 years: - Not in labor force,Margin of Error; Female: - 16 to 19 years: - Not in labor force,Estimate; Female: - 20 to 24 years:,Margin of Error; Female: - 20 to 24 years:,Estimate; Female: - 20 to 24 years: - In labor force:,Margin of Error; Female: - 20 to 24 years: - In labor force:,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 20 to 24 years: - Not in labor force,Margin of Error; Female: - 20 to 24 years: - Not in labor force,Estimate; Female: - 25 to 54 years:,Margin of Error; Female: - 25 to 54 years:,Estimate; Female: - 25 to 54 years: - In labor force:,Margin of Error; Female: - 25 to 54 years: - In labor force:,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 25 to 54 years: - Not in labor force,Margin of Error; Female: - 25 to 54 years: - Not in labor force,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - In labor force:,Margin of Error; Female: - 55 to 64 years: - In labor force:,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 55 to 64 years: - Not in labor force,Margin of Error; Female: - 55 to 64 years: - Not in labor force,Estimate; Female: - 65 to 69 years:,Margin of Error; Female: - 65 to 69 years:,Estimate; Female: - 65 to 69 years: - In labor force:,Margin of Error; Female: - 65 to 69 years: - In labor force:,Estimate; Female: - 65 to 69 years: - In labor force: - Employed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed,Estimate; Female: - 65 to 69 years: - Not in labor force,Margin of Error; Female: - 65 to 69 years: - Not in labor force,Estimate; Female: - 70 years and over:,Margin of Error; Female: - 70 years and over:,Estimate; Female: - 70 years and over: - In labor force:,Margin of Error; Female: - 70 years and over: - In labor force:,Estimate; Female: - 70 years and over: - In labor force: - Employed,Margin of Error; Female: - 70 years and over: - In labor force: - Employed,Estimate; Female: - 70 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed,Estimate; Female: - 70 years and over: - Not in labor force,Margin of Error; Female: - 70 years and over: - Not in labor force
0500000US01003,01003,"Baldwin County, Alabama",138120,1132,67219,975,4382,1152,1350,687,0,192,1350,687,1224,674,126,195,3032,889,4259,198,3916,330,0,192,3916,330,3591,460,325,363,343,311,31646,750,28566,1572,185,229,28381,1594,26462,1718,1919,746,3080,1299,11427,319,7978,892,0,192,7978,892,7163,975,815,662,3449,827,5693,870,2182,894,2091,897,91,150,3511,809,9812,839,718,379,718,379,0,192,9094,841,70901,567,3456,860,1086,543,0,192,1086,543,890,532,196,188,2370,680,4914,921,3375,810,0,192,3375,810,3119,819,256,316,1539,815,32283,533,23693,1552,0,192,23693,1552,22074,1656,1619,970,8590,1484,12721,175,7703,1023,0,192,7703,1023,6929,1154,774,624,5018,989,6231,820,907,480,907,480,0,192,5324,907,11296,820,731,410,731,410,0,192,10565,899
0500000US01015,01015,"Calhoun County, Alabama",72038,740,34440,487,1929,385,458,225,0,192,458,225,320,219,138,169,1471,444,2961,148,2186,504,139,218,2047,489,1708,542,339,410,775,484,16982,342,14374,894,205,236,14169,915,12449,1150,1720,893,2608,810,5951,192,3064,593,145,235,2919,610,2264,676,655,550,2887,593,2084,478,326,214,212,153,114,159,1758,490,4533,488,417,322,417,322,0,192,4116,426,37598,536,2201,379,732,317,0,192,732,317,519,320,213,184,1469,437,2965,192,2175,381,0,192,2175,381,1942,426,233,208,790,381,17158,367,11305,1272,0,192,11305,1272,10186,1301,1119,676,5853,1208,6429,192,2834,582,0,192,2834,582,2504,571,330,263,3595,582,2414,589,490,368,490,368,0,192,1924,553,6431,589,613,380,576,364,37,60,5818,588
0500000US01043,01043,"Cullman County, Alabama",62402,794,30400,511,1600,368,463,284,0,192,463,284,237,148,226,290,1137,275,2717,306,2345,312,0,192,2345,312,2073,325,272,231,372,226,15138,369,12935,815,0,192,12935,815,12295,881,640,392,2203,783,5098,149,3338,468,0,192,3338,468,3280,476,58,81,1760,438,2583,418,589,355,589,355,0,192,1994,575,3264,400,220,165,178,145,42,76,3044,354,32002,468,1712,313,354,252,0,192,354,252,354,252,0,192,1358,423,2922,386,1208,486,0,192,1208,486,1028,466,180,187,1714,557,14458,278,9094,965,0,192,9094,965,8204,1112,890,542,5364,1021,5305,178,2048,494,0,192,2048,494,1982,499,66,75,3257,513,2288,499,384,197,351,188,33,55,1904,461,5317,499,98,106,98,106,0,192,5219,509
0500000US01049,01049,"DeKalb County, Alabama",52509,2151,25929,1960,1378,194,363,209,0,192,363,209,352,211,11,21,1015,333,3301,1866,2093,1021,0,192,2093,1021,1719,964,374,314,1208,1091,12583,523,10271,914,5,9,10266,913,9720,943,546,336,2312,776,4064,192,2570,582,0,192,2570,582,2570,582,0,192,1494,582,1689,351,502,304,497,302,5,10,1187,405,2914,397,304,179,304,179,0,192,2610,408,26580,910,1700,669,485,98,0,192,485,98,477,102,8,18,1215,687,2060,522,1365,256,0,192,1365,256,1067,407,298,300,695,581,12430,603,7801,1127,0,192,7801,1127,7485,1156,316,233,4629,863,4228,192,1656,471,0,192,1656,471,1521,440,135,200,2572,471,1302,379,162,128,162,128,0,192,1140,361,4860,660,261,223,195,194,66,108,4599,734
0500000US01051,01051,"Elmore County, Alabama",49651,623,23798,642,1143,490,797,437,0,192,797,437,553,310,244,224,346,251,1982,275,1198,445,0,192,1198,445,1062,444,136,163,784,395,11978,494,9257,851,265,340,8992,914,8621,1025,371,364,2721,657,4141,344,2629,580,0,192,2629,580,2563,594,66,113,1512,488,1593,329,295,217,295,217,0,192,1298,325,2961,383,372,303,327,290,45,77,2589,464,25853,472,1559,534,592,431,0,192,592,431,202,227,390,381,967,525,2043,568,1591,564,0,192,1591,564,1130,550,461,338,452,283,12870,135,7703,1031,67,121,7636,1047,7015,1123,621,507,5167,1016,4273,201,2354,500,0,192,2354,500,2289,525,65,107,1919,445,2264,336,651,355,651,355,0,192,1613,378,2844,336,442,427,442,427,0,192,2402,537
0500000US01055,01055,"Etowah County, Alabama",69012,670,33175,375,2387,596,728,408,0,192,728,408,339,272,389,417,1659,618,2638,670,1904,647,0,192,1904,647,1562,567,342,324,734,476,15628,323,12829,766,47,83,12782,771,11839,841,943,452,2799,729,5729,192,3021,595,0,192,3021,595,2833,574,188,203,2708,595,2452,447,687,344,687,344,0,192,1765,457,4341,447,303,240,303,240,0,192,4038,489,35837,525,1822,399,512,208,0,192,512,208,512,208,0,192,1310,436,2634,250,2203,380,0,192,2203,380,1813,535,390,513,431,306,16454,293,10091,1126,0,192,10091,1126,9417,1151,674,477,6363,1171,6187,192,3056,531,0,192,3056,531,2936,549,120,93,3131,531,2702,529,454,326,454,326,0,192,2248,449,6038,529,184,180,184,180,0,192,5854,547
0500000US01069,01069,"Houston County, Alabama",58545,332,27898,238,1495,179,523,138,0,192,523,138,369,117,154,76,972,226,1983,148,1677,215,21,34,1656,211,1354,213,302,125,306,138,13932,127,12072,573,101,66,11971,566,11396,531,575,197,1860,555,4771,74,2986,337,0,192,2986,337,2901,343,85,61,1785,331,2218,190,757,199,736,202,21,23,1461,223,3499,190,595,155,544,144,51,37,2904,227,30647,209,1721,167,700,220,0,192,700,220,587,224,113,102,1021,233,2022,86,1405,162,0,192,1405,162,1347,168,58,61,617,167,14139,125,10193,577,0,192,10193,577,9513,565,680,341,3946,563,5205,39,2541,313,0,192,2541,313,2464,313,77,51,2664,302,2585,224,838,227,816,227,22,19,1747,248,4975,203,523,226,512,225,11,18,4452,290
0500000US01073,01073,"Jefferson County, Alabama",286597,2084,136937,1554,7144,774,2248,708,0,192,2248,708,1639,616,609,335,4896,908,10830,495,9044,1043,33,55,9011,1048,8188,1143,823,487,1786,896,69669,1005,61846,1677,0,192,61846,1677,58944,1669,2902,790,7823,1502,23772,365,16395,974,0,192,16395,974,15553,948,842,420,7377,996,8433,847,3734,734,3533,730,201,259,4699,827,17089,862,2829,725,2543,669,286,217,14260,965,149660,1193,8150,614,2283,736,0,192,2283,736,1963,690,320,228,5867,919,10337,317,7236,984,0,192,7236,984,6959,945,277,206,3101,967,69801,795,50515,1789,141,188,50374,1810,48465,1962,1909,688,19286,1851,25172,233,14813,1087,6,12,14807,1089,14096,1070,711,367,10359,1092,10538,1020,2985,842,2985,842,0,192,7553,1038,25662,1027,2436,609,2409,610,27,44,23226,1166
0500000US01077,01077,"Lauderdale County, Alabama",66677,560,31516,473,1571,719,551,480,0,192,551,480,482,464,69,117,1020,534,3732,541,3014,517,0,192,3014,517,2780,502,234,180,718,483,14198,226,12359,620,0,192,12359,620,11666,640,693,329,1839,576,5356,59,3530,550,0,192,3530,550,3439,541,91,140,1826,554,2486,439,697,345,553,304,144,174,1789,476,4173,463,587,338,587,338,0,192,3586,561,35161,284,2748,548,1205,487,0,192,1205,487,900,439,305,190,1543,535,2814,490,1813,530,0,192,1813,530,1766,530,47,64,1001,394,14842,174,10468,1018,0,192,10468,1018,10125,1033,343,220,4374,1005,5997,128,3291,601,0,192,3291,601,2925,636,366,259,2706,610,2218,562,310,211,253,216,57,102,1908,559,6542,572,185,176,185,176,0,192,6357,614
